grid_id,stop_id,stop_name,walking_distance_m,walking_time_min,trips_per_hour,headway_min,avg_wait_min
3089,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b22_0,,583.94,7.01,0.333,180.0,90.0
3089,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b23_0,,361.4,4.34,0.333,180.0,90.0
3089,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b24_0,,376.04,4.51,0.333,180.0,90.0
3089,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b25_0,,462.67,5.55,0.333,180.0,90.0
3089,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b26_0,,777.64,9.33,0.333,180.0,90.0
3146,feed_shizuokacity_ryougouchi_20260401_20260630200904_o4_0,,800.62,9.61,2.0,30.0,15.0
3149,feed_shizuokacity_ryougouchi_20260401_20260630200904_o1_0,,753.66,9.04,2.0,30.0,15.0
3149,feed_shizuokacity_ryougouchi_20260401_20260630200904_o2_0,,478.26,5.74,2.0,30.0,15.0
3149,feed_shizuokacity_ryougouchi_20260401_20260630200904_o3_0,,377.08,4.52,2.0,30.0,15.0
3150,feed_shizuokacity_ryougouchi_20260401_20260630200904_o1_0,,606.87,7.28,2.0,30.0,15.0
3150,feed_shizuokacity_ryougouchi_20260401_20260630200904_o2_0,,331.48,3.98,2.0,30.0,15.0
3150,feed_shizuokacity_ryougouchi_20260401_20260630200904_o3_0,,404.78,4.86,2.0,30.0,15.0
3153,feed_shizuokacity_ryougouchi_20260401_20260630200904_t6_0,,430.66,5.17,4.0,15.0,7.5
3153,feed_shizuokacity_ryougouchi_20260401_20260630200904_t7_0,,659.21,7.91,6.0,10.0,5.0
3155,feed_shizuokacity_ryougouchi_20260401_20260630200904_t5_0,,468.56,5.62,2.0,30.0,15.0
3155,feed_shizuokacity_ryougouchi_20260401_20260630200904_z1_0,,414.11,4.97,2.0,30.0,15.0
3156,feed_shizuokacity_ryougouchi_20260401_20260630200904_t5_0,,390.22,4.68,2.0,30.0,15.0
3156,feed_shizuokacity_ryougouchi_20260401_20260630200904_z1_0,,335.77,4.03,2.0,30.0,15.0
3171,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b24_0,,922.83,11.07,0.333,180.0,90.0
3171,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b25_0,,836.2,10.03,0.333,180.0,90.0
3171,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b26_0,,641.47,7.7,0.333,180.0,90.0
3171,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b27_0,,886.92,10.64,0.333,180.0,90.0
3172,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b22_0,,817.15,9.81,0.333,180.0,90.0
3172,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b23_0,,523.43,6.28,0.333,180.0,90.0
3172,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b24_0,,434.78,5.22,0.333,180.0,90.0
3172,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b25_0,,521.41,6.26,0.333,180.0,90.0
3172,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b26_0,,836.37,10.04,0.333,180.0,90.0
3173,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b10_2,,895.86,10.75,0.333,180.0,90.0
3173,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b22_0,,678.6,8.14,0.333,180.0,90.0
3173,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b23_0,,384.87,4.62,0.333,180.0,90.0
3173,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b24_0,,554.76,6.66,0.333,180.0,90.0
3173,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b25_0,,641.39,7.7,0.333,180.0,90.0
3173,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b26_0,,956.36,11.48,0.333,180.0,90.0
3174,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b10_2,,159.42,1.91,0.333,180.0,90.0
3174,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b11_2,,636.4,7.64,0.333,180.0,90.0
3174,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b22_0,,244.63,2.94,0.333,180.0,90.0
3174,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b23_0,,538.35,6.46,0.333,180.0,90.0
3174,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b24_0,,902.15,10.83,0.333,180.0,90.0
3228,feed_shizuokacity_ryougouchi_20260401_20260630200904_o8_0,,483.8,5.81,2.0,30.0,15.0
3230,feed_shizuokacity_ryougouchi_20260401_20260630200904_o5_0,,737.91,8.85,2.0,30.0,15.0
3230,feed_shizuokacity_ryougouchi_20260401_20260630200904_o8_0,,575.46,6.91,2.0,30.0,15.0
3231,feed_shizuokacity_ryougouchi_20260401_20260630200904_o5_0,,941.29,11.3,2.0,30.0,15.0
3233,feed_shizuokacity_ryougouchi_20260401_20260630200904_o4_0,,308.42,3.7,2.0,30.0,15.0
3234,feed_shizuokacity_ryougouchi_20260401_20260630200904_o3_0,,491.94,5.9,2.0,30.0,15.0
3234,feed_shizuokacity_ryougouchi_20260401_20260630200904_o4_0,,360.93,4.33,2.0,30.0,15.0
